,TrialID,paper_id,parsed_country
157,ChiCTR2000030034,,China
158,ChiCTR2000030032,,China
159,ChiCTR2000030087,,China
160,ChiCTR2000030086,,China
161,ChiCTR2000030033,,Chinese
162,ChiCTR2000030017,,China
163,ChiCTR2000030029,,China
164,ChiCTR2000030027,,China
165,ChiCTR2000030015,13ae98eab669b1fc1a8b3221e584ffae032a0cde,China
166,ChiCTR2000030008,,China
167,ChiCTR2000030054,,China
168,ChiCTR2000030039,,China
169,ChiCTR2000030016,,China
170,ChiCTR2000030007,,China
171,ChiCTR2000030012,,China
172,ChiCTR2000030010,,China
173,ChiCTR2000030006,,China
174,ChiCTR2000030001,,China
175,ChiCTR2000030021,,China
176,ChiCTR2000030020,,China
177,ChiCTR2000030019,,China
178,ChiCTR2000030004,,China
179,ChiCTR2000030000,,China
180,ChiCTR2000029956,,China
181,ChiCTR2000029996,,China
182,ChiCTR2000029995,,China
183,ChiCTR2000029999,,China
184,ChiCTR2000029992,,China
185,ChiCTR2000030003,,China
186,ChiCTR2000030002,,China
187,ChiCTR2000029994,,China
188,ChiCTR2000029978,,China
189,ChiCTR2000029989,,China
190,ChiCTR2000029988,,China
191,ChiCTR2000029781,,China
192,ChiCTR2000029740,eba1da4b90ee7cff2811391e12e773baa5cd6c2e,China
193,ChiCTR2000029740,19a08cc1423d6006b2251bdcfd142f88db7002e7,China
194,ChiCTR2000029740,4b2b9841f4d7064851b89540f55df916f279a82b,China
195,ChiCTR2000029990,,China
196,ChiCTR2000029981,,China
197,ChiCTR2000029960,,China
198,ChiCTR2000029959,,China
199,ChiCTR2000029985,,China
200,ChiCTR2000029972,,China
201,ChiCTR2000029974,,China
202,ChiCTR2000029803,4b2b9841f4d7064851b89540f55df916f279a82b,China
203,ChiCTR2000029803,eff6ce20122149117020cda90ad17f7cff0e9fd4,China
204,ChiCTR2000029866,,China
205,ChiCTR2000029865,,China
206,ChiCTR2000029780,,China
207,NCT04257656,b03cfc33c861323d52c4cb35d47d7c6cd6acfcc5,China
208,NCT04257656,8330d31a5ec8b240991ed6d5a0dcbaf967f7dbd0,China
209,NCT04257656,1766a9d5945897581c80f83276cc723c77e3798d,China
210,NCT04257656,cbf20969da0fdadbb513502aa324d940defc5f15,China
211,NCT04257656,8868082a33ad12400eb72ee137df74bf7cf73fff,China
212,ChiCTR2000029851,,China
213,NCT04252664,e3194f34badda0d3da79d2c00ec844bc24269e73,China
214,NCT04252664,19a08cc1423d6006b2251bdcfd142f88db7002e7,China
215,NCT04252664,b03cfc33c861323d52c4cb35d47d7c6cd6acfcc5,China
216,NCT04252664,8330d31a5ec8b240991ed6d5a0dcbaf967f7dbd0,China
217,NCT04252664,1766a9d5945897581c80f83276cc723c77e3798d,China
218,NCT04252664,cbf20969da0fdadbb513502aa324d940defc5f15,China
219,ChiCTR2000029954,,China
220,NCT04279899,,China
221,NCT04256395,,China
222,NCT04273529,,China
223,NCT04273581,,China
224,ChiCTR2000030433,,China
225,ChiCTR2000030418,,China
226,NCT04270383,,China
227,NCT04273646,,China
228,NCT04275947,,China
229,ChiCTR2000030420,,China
230,NCT04275245,d1c0a1bfbc2785ecfaac415612d354f2ffc3bfc5,China
231,NCT04275388,,China
232,NCT04279197,,China
233,NCT04280588,,China
234,ChiCTR2000030386,,China
235,ChiCTR2000030382,,China
236,ChiCTR2000030390,,China
237,ChiCTR2000030363,,China
238,ChiCTR2000030432,,China
239,ChiCTR2000030398,,China
240,NCT04274322,,China
241,NCT04279782,,China
242,NCT04279795,,China
243,NCT04280224,,China
244,ChiCTR2000030389,,China
245,ChiCTR2000030387,,China
246,ChiCTR2000030334,,China
247,ChiCTR2000030333,,China
248,ChiCTR2000030331,,China
249,ChiCTR2000030322,,China
250,ChiCTR2000030442,,China
251,ChiCTR2000030424,,China
252,ChiCTR2000030317,,China
253,ChiCTR2000030315,,China
254,ChiCTR2000030391,,China
255,ChiCTR2000030327,,China
256,ChiCTR2000030314,,China
257,ChiCTR2000030305,,China
258,ChiCTR2000030328,,China
259,ChiCTR2000030263,,China
260,ChiCTR2000030325,,China
261,ChiCTR2000030324,,China
262,ChiCTR2000030300,,China
263,ChiCTR2000030283,,China
264,ChiCTR2000030262,,China
265,ChiCTR2000030260,,China
266,ChiCTR2000030265,,China
267,ChiCTR2000030264,,China
268,ChiCTR2000030215,,China
269,ChiCTR2000030196,,china
270,ChiCTR2000030293,,China
271,ChiCTR2000030290,,China
272,ChiCTR2000030261,,China
273,ChiCTR2000030222,,China
274,ChiCTR2000030255,,China
275,ChiCTR2000030253,,China
276,ChiCTR2000030259,,China
277,ChiCTR2000030258,,China
278,ChiCTR2000030022,,China
279,ChiCTR2000030013,,China
280,ChiCTR2000030218,,China
281,ChiCTR2000029952,,China
282,ChiCTR2000030219,,China
283,ChiCTR2000030091,,China
284,ChiCTR2000030257,,China
285,ChiCTR2000030226,,China
286,ChiCTR2000029991,,China
287,ChiCTR2000029755,,China
288,ChiCTR2000030042,,China
289,ChiCTR2000029975,,China
290,ChiCTR2000029900,,China
291,ChiCTR2000029761,4b2b9841f4d7064851b89540f55df916f279a82b,China
292,ChiCTR2000030225,,China
293,ChiCTR2000030223,,China
294,ChiCTR2000029762,4b2b9841f4d7064851b89540f55df916f279a82b,China
295,ChiCTR2000029760,4b2b9841f4d7064851b89540f55df916f279a82b,China
296,ChiCTR2000029728,,China
297,ChiCTR2000029387,,China
298,ChiCTR2000029759,,China
299,ChiCTR2000029386,,China
300,ChiCTR2000030162,,Spain
